Unnamed: 0,username,text,created_at,sumber,sentiment,month,label_code,text_stopwords
11,powerangers,buset bitcoin turun drastis pgn buy tapi kenapa kgak ada duit,2025-01-27 09:51:10+00:00,X,negative,1.0,2,buset bitcoin turun drastis pgn buy kgak duit
12,Adrian,jangan masuk kripto apalavi bitcoin bahaya yaps benar sangat bahaya kalau kamu tidak tahu kenapa kamu harus masuk kesitu tiba tiba rugi tiba turun baru tahu arti dunia,2025-01-27 09:31:26+00:00,X,negative,1.0,2,jangan masuk kripto apalavi bitcoin bahaya yaps benar sangat bahaya tahu harus masuk kesitu tiba tiba rugi tiba turun baru tahu arti dunia
13,Gabriel Rey,kayak flashback dulu harga turun karena china ban bitcoin sekarang harga turun karena ai deepseek dari china but fundamentally bitcoin doesn t change,2025-01-27 08:09:40+00:00,X,netral,1.0,0,kayak flashback dulu harga turun china ban bitcoin sekarang harga turun ai deepseek china but fundamentally bitcoin doesn t change
14,â™Ÿï¸,before sign president kita buat meme coin bagi orang percaya yang kripto nak letup after harga turun now all mdfkers,2025-01-27 07:35:06+00:00,X,negative,1.0,2,before sign president buat meme coin bagi orang percaya kripto nak letup after harga turun now all mdfkers
15,Stephanus (â—•â€¿â—• ),lihat berita trump tren naik bitcoin sama seperti dejavu jokowi suntik covid pertama x dipikir inaf kaef semakin naik ke lebih ternyata dihajar turun drastis apakah benar salah prediksi btcnya,2025-01-27 05:12:29+00:00,X,netral,1.0,0,lihat berita trump tren naik bitcoin sama seperti dejavu jokowi suntik covid pertama x dipikir inaf kaef semakin naik lebih ternyata dihajar turun drastis apakah benar salah prediksi btcnya
16,Foets,semoga terjadi keajaiban terhadarp kripto yang tiap hari turun slama bulan,2025-01-27 04:20:43+00:00,X,negative,1.0,2,semoga terjadi keajaiban terhadarp kripto tiap hari turun slama bulan
17,Cryptocium,saya agak heran dengan orang yang tren turun ke ethereum hightimeframe selalu menang dari lowtimeframe di maket yang volatile believe in hightimeframe believe in something,2025-01-26 11:01:16+00:00,X,netral,1.0,0,agak heran orang tren turun ethereum hightimeframe selalu menang lowtimeframe maket volatile believe in hightimeframe believe in something
18,Menjadi Trader,semua bilang trading kripto itu untung gede tapi tidak ada yang cerita bagaimana rasa sakitnya pas likuidasi habis yang survive bukan yang pintar tapi yang tahu kapan harus berhenti,2025-01-26 09:10:53+00:00,X,negative,1.0,2,semua bilang trading kripto untung gede cerita rasa sakitnya pas likuidasi habis survive bukan pintar tahu kapan harus berhenti
19,XueeiN (mainnet arc),level kunci support untuk si perkiraan di untuk waspadai level ini pnting untuk momentum tren naik volume perdagangan sejak desember dari bitcoin turun menjadi bitcoin pada januari,2025-01-26 07:04:07+00:00,X,netral,1.0,0,level kunci support si perkiraan waspadai level pnting momentum tren naik volume perdagangan sejak desember bitcoin turun menjadi bitcoin januari
20,Dark_art,jian bitcoin laknat dom turun ikut turun dom naik ikut naik semua liquidity di bitcoin,2025-01-26 02:08:31+00:00,X,negative,1.0,2,jian bitcoin laknat dom turun ikut turun dom naik ikut naik semua liquidity bitcoin
21,0xPadiel,just scored my airdrop dapat token cuma karena akun twitter saya udah tua siapa sangka umur akun dapat jadi untung kamu udah dapat belum kalau belum keburu nyesel nih,2025-01-26 00:22:47+00:00,X,positive,1.0,1,just scored my airdrop dapat token cuma akun twitter udah tua siapa sangka umur akun dapat jadi untung udah dapat belum belum keburu nyesel nih
22,"KuperCapital (âœ¸,âœ¸)",tren naik terhadap tren turun terhadap token sampah meme solana,2025-01-25 10:52:32+00:00,X,netral,1.0,0,tren naik terhadap tren turun terhadap token sampah meme solana
23,kotarominami.eth,meski tidak memawarkan kalian untung setidaknya di kripto twitter land akun saya juga ingin punya sedikit sedikt saja manfaat buat perkembangan web di indo,2025-01-25 03:13:06+00:00,X,netral,1.0,0,meski memawarkan kalian untung setidaknya kripto twitter land akun ingin punya sedikit sedikt manfaat buat perkembangan web indo
24,Alfiansyah,oh come on masa gara digital asset tulisannya bukan kripto jadinya turun market so dumb,2025-01-23 21:10:16+00:00,X,negative,1.0,2,oh come on masa gara digital asset tulisannya bukan kripto jadinya turun market so dumb
25,Menjadi Trader,kalau trading kripto bikin kamu stres mungkin kamu tidak cocok jadi trader ini bukan soal untung saja tapi soal mental banyak yang kalah bukan karena ilmunya kurang tapi karena mentalnya tidak siap,2025-01-23 17:26:11+00:00,X,netral,1.0,0,trading kripto bikin stres mungkin cocok jadi trader bukan soal untung soal mental banyak kalah bukan ilmunya kurang mentalnya siap
26,delfia,sekarang bitcoin turun lagi berasa kena prank saja,2025-01-23 15:15:17+00:00,X,negative,1.0,2,sekarang bitcoin turun lagi berasa kena prank
27,Akbrrrsw.,sudah paling benar itu beli bitcoin beli altcoin kalau lagi harga turun buruk saja baru masuk beli,2025-01-23 11:54:00+00:00,X,netral,1.0,0,paling benar beli bitcoin beli altcoin lagi harga turun buruk baru masuk beli
28,seutas_kenangan âœ¨ï¸,ethereum ini ingin apa sih wow naik engga yang lain turun malah ikut turun aneh looo,2025-01-23 05:09:40+00:00,X,negative,1.0,2,ethereum ingin wow naik engga lain turun malah ikut turun aneh looo
29,Blackx Cuan,pboc ada injeksi dana ke pasar saham ya gess dampaknya ke market bagaimana dan kapan biarlah bitcoin yang kasih tahu nanti,2025-01-23 02:07:28+00:00,X,netral,1.0,0,pboc injeksi dana pasar saham gess dampaknya market kapan biarlah bitcoin kasih tahu nanti
30,bukan trader,ketika banyak berita negatif palsu di ethereum kmgkinan akan segera di kirim ke ath,2025-01-23 01:36:04+00:00,X,negative,1.0,2,ketika banyak berita negatif palsu ethereum kmgkinan segera kirim ath
31,Sinau â‚¿itcoin ðŸ§¡,tik tok sakpunika sampun wanci block saiki gek ungsum singkatan tidak ingin melu kagem dulur balung kere sing sabar yo lur regane gek arep larang meneh mugi diparingi diskonan malih,2025-01-22 20:20:18+00:00,X,negative,1.0,2,tik tok sakpunika sampun wanci block saiki gek ungsum singkatan ingin melu kagem dulur balung kere sing sabar yo lur regane gek arep larang meneh mugi diparingi diskonan malih
32,Chartenz,hanya satu pintaku tolong bitcoin sideways dominance turun,2025-01-22 14:04:58+00:00,X,netral,1.0,0,hanya satu pintaku tolong bitcoin sideways dominance turun
34,Ancy,bagaimana pandangannya tentang pergerakan harga ethereum apakah naik atau turun untuk minggu ke depan,2025-01-22 05:56:40+00:00,X,netral,1.0,0,pandangannya tentang pergerakan harga ethereum apakah naik turun minggu depan
35,Hyoora ðŸŒ»,lihat market turun malah panik lihat market naik malah tamak duh bagaimana ingin untung kalau begitu tertawa,2025-01-21 19:57:44+00:00,X,negative,1.0,2,lihat market turun malah panik lihat market naik malah tamak duh ingin untung begitu tertawa
36,RZ,kripto penipuan bitcoin naik altcoin tidak naik giliran turun ngajak,2025-01-21 12:39:14+00:00,X,negative,1.0,2,kripto penipuan bitcoin naik altcoin naik giliran turun ngajak
37,Pencari Cuan,bli kalau diperhatikan efek trump turun ethereum dan atl ikut turun juga nih dan saya kan yakin itu trump bakal turun banget jadi deg an,2025-01-21 01:13:52+00:00,X,negative,1.0,2,bli diperhatikan efek trump turun ethereum atl ikut turun nih yakin trump bakal turun banget jadi deg an
38,DjiwaCrypTo,bitcoin sudah seperti naik cepat turun cepat,2025-01-20 22:50:36+00:00,X,netral,1.0,0,bitcoin seperti naik cepat turun cepat
39,axel,pantes harga turun donald trump tidak mention kripto pas di pidatonya,2025-01-20 18:10:59+00:00,X,netral,1.0,0,pantes harga turun donald trump mention kripto pas pidatonya
40,MY.SOL,no mention of kripto the trump harga turun will be real ttugjbyk aedrpacfyygi zpujja yh bsrppump,2025-01-20 17:44:58+00:00,X,netral,1.0,0,no mention of kripto the trump harga turun will be real ttugjbyk aedrpacfyygi zpujja yh bsrppump
41,pengepul coin,trump dilantik kenapa bitcoin turun tertawa,2025-01-20 17:08:33+00:00,X,netral,1.0,0,trump dilantik bitcoin turun tertawa
42,0nlyCaliCash,okee mungkin saya kedengaran kek bocah takut ketinggalan kripto tapi ini lucu saya baru bikin lagu pokoke liriknya keatas macamku solana pas kelar mixing malah turun,2025-01-20 16:38:30+00:00,X,negative,1.0,2,okee mungkin kedengaran kek bocah takut ketinggalan kripto lucu baru bikin lagu pokoke liriknya keatas macamku solana pas kelar mixing malah turun
43,Abipraya,menunggu tahun buat untung kripto,2025-01-20 14:44:32+00:00,X,netral,1.0,0,menunggu tahun buat untung kripto
44,raz faraz,bitcoin turun semua turun bitcoin naik semua tidak naik naik,2025-01-20 13:33:23+00:00,X,netral,1.0,0,bitcoin turun semua turun bitcoin naik semua naik naik
45,yumalida,tumben tarik dana ts belum masuk jam segini ingin beli harga bawah bitcoin dahal siapa tahu dapat k malem ini ye kan,2025-01-20 13:21:46+00:00,X,netral,1.0,0,tumben tarik dana ts belum masuk jam segini ingin beli harga bawah bitcoin dahal siapa tahu dapat k malem ye
46,ðŸ†‚itajalwaysjp,kata taket bitcoin baru menyentuh ke k di iya si dari kemaren market turun mulu tertawa yang naik cuman solana itu pun karena donald trump saja,2025-01-20 12:53:04+00:00,X,negative,1.0,2,kata taket bitcoin baru menyentuh k iya si kemaren market turun mulu tertawa naik cuman solana pun donald trump
47,Crypto Ndo! ðŸ‡®ðŸ‡©,desci belum saatnya tapi kalau nanti altcoin season berjalan bio tetap akan naik tapi tidak tahu akan jadi berapa buat kalian yang terjebak rugi di bio tunggu dan berharap saja biar altcoin season berjalan secepatnya,2025-01-20 11:00:12+00:00,X,netral,1.0,0,desci belum saatnya nanti altcoin season berjalan bio tetap naik tahu jadi berapa buat kalian terjebak rugi bio tunggu berharap biar altcoin season berjalan secepatnya
48,Mas Jingan ðŸ§,ingin invest bitcoin nunggu harga turun malah naik terus anjer,2025-01-20 07:53:28+00:00,X,negative,1.0,2,ingin invest bitcoin nunggu harga turun malah naik terus anjer
49,Triv Exchange,bitcoin sempat cetak ath ke k trivers ada yang nyesel belum sempet beli harga bawah atau malah udah pada tapi nih jangan lupa di triv biar tidak kehilangan momen ath berikutnya,2025-01-20 07:51:13+00:00,X,netral,1.0,0,bitcoin sempat cetak ath k trivers nyesel belum sempet beli harga bawah malah udah nih jangan lupa triv biar kehilangan momen ath berikutnya
50,nate,bitcoin wow naik turun secepat kilat,2025-01-20 07:07:27+00:00,X,netral,1.0,0,bitcoin wow naik turun secepat kilat
51,CP,kalau dipikir lebih enak tidurnya orang menabung di bitcoin tanpa melihat chart candle tanpa mendengar berita market ketimbang orang yang paham ilmunya tentang chart dan fundamental dia konsisten menabung bitcoin walaupun harga naik ataupun turun,2025-01-20 05:43:23+00:00,X,netral,1.0,0,dipikir lebih enak tidurnya orang menabung bitcoin tanpa melihat candle tanpa mendengar berita market ketimbang orang paham ilmunya tentang fundamental konsisten menabung bitcoin walaupun harga naik ataupun turun
52,Steven,mampos harga turun asw liq masuk ke trump altcoin bongko,2025-01-20 00:30:16+00:00,X,negative,1.0,2,mampos harga turun asw liq masuk trump altcoin bongko
53,y,kalian sakit hati tidak melihat sendiri bagaiamana orang yang kita anggap akan mengedukasi lebih banyak orang tentang kripto ternyata hanya memperjelas dan memanfaatkan fenomena harga naik harga turun,2025-01-19 23:44:54+00:00,X,negative,1.0,2,kalian sakit hati melihat sendiri bagaiamana orang anggap mengedukasi lebih banyak orang tentang kripto ternyata hanya memperjelas memanfaatkan fenomena harga naik harga turun
54,sys || 94.6,bitcoin k altcoin serasa tren turun anjingg tahu begitu golput saja,2025-01-19 23:42:12+00:00,X,negative,1.0,2,bitcoin k altcoin serasa tren turun anjingg tahu begitu golput
55,Xentens,giliran trump beli ethereum pada turun jugaa semua altcoin market memang edan,2025-01-19 22:40:01+00:00,X,negative,1.0,2,giliran trump beli ethereum turun jugaa semua altcoin market memang edan
56,DegenboissðŸ¦›,yang berita negatif palsu ethereum si orang paling aneh di dunia,2025-01-19 14:04:32+00:00,X,negative,1.0,2,berita negatif palsu ethereum si orang paling aneh dunia
57,Le FlÃ¢neur,dari dulu tidak nemu apa fundamentalnya kripto tapi kalau untung ya untung,2025-01-19 11:38:52+00:00,X,netral,1.0,0,dulu nemu fundamentalnya kripto untung untung
58,alwaysgrumpy,analisa pribadi sok pinter saja pelantikan trump trump harga turun money flow ke altcoin,2025-01-19 11:29:26+00:00,X,netral,1.0,0,analisa pribadi sok pinter pelantikan trump trump harga turun flow altcoin
59,Yunepto,ku salut sama kalian yang berani masuk beli trump di beberapa jam lalu ku tidak berani jujur saja karena ngerasa udah ketinggalan amp takut terjebak rugi di pucuk mencoba cari rejeki dari aset kripto lain,2025-01-19 10:16:41+00:00,X,negative,1.0,2,ku salut sama kalian berani masuk beli trump beberapa jam lalu ku berani jujur ngerasa udah ketinggalan amp takut terjebak rugi pucuk mencoba cari rejeki aset kripto lain
60,ys,ripple turun terus jadi ragu sudah,2025-01-19 09:28:06+00:00,X,negative,1.0,2,ripple turun terus jadi ragu
61,hanlivestrong,bitcoin kalau sore sore begini naik turun bjir,2025-01-19 09:26:59+00:00,X,netral,1.0,0,bitcoin sore sore begini naik turun bjir
62,shawnmichelster,luna next bitcoin harga turun mein ki range kenapa jab bye bye bolega tab meri taraf se,2025-01-19 07:17:38+00:00,X,negative,1.0,2,luna next bitcoin harga turun mein ki range jab bye bye bolega tab meri taraf se
63,Daffa dzakwan,main saham turun pegang uang cash kena inflasi ingin usaha bingung mulai dari mana sebaiknya uang kita harus diapain selain average down ripple solusinya,2025-01-19 07:09:02+00:00,X,negative,1.0,2,main saham turun pegang uang cash kena inflasi ingin usaha bingung mulai mana sebaiknya uang harus diapain selain average ripple solusinya
64,Trader Receh,meskipun besok trump dilantik yang dapat menghentikan takut ketinggalan trump adalah ath bitcoin mungkin besok atau lusa,2025-01-19 05:41:19+00:00,X,netral,1.0,0,meskipun besok trump dilantik dapat menghentikan takut ketinggalan trump ath bitcoin mungkin besok lusa
65,Duta Crypto,trump hype tukang takut ketinggalan meme yang sebelumnya ngilang akhirnya pada aktif lagi terimakasih trump,2025-01-19 03:32:12+00:00,X,positive,1.0,1,trump hype tukang takut ketinggalan meme sebelumnya ngilang akhirnya aktif lagi terimakasih trump
66,corazon,misal hari lalu masuk beli solana udah lumayan tapi saya malah masuk beli bitcoin mayan juga sih untung ribu,2025-01-19 03:23:00+00:00,X,positive,1.0,1,misal hari lalu masuk beli solana udah lumayan malah masuk beli bitcoin mayan untung ribu
67,Rahmadi,ethereum bangke bitcoin binance coin ssol udah pada new ath ini malah makin nyungsep kek koin micin bitcoin harga turun dia paling banyak turun,2025-01-19 02:34:50+00:00,X,negative,1.0,2,ethereum bangke bitcoin binance coin ssol udah new ath malah makin nyungsep kek koin micin bitcoin harga turun paling banyak turun
68,gothmferrrrrrrrrrrrrrrrr,ethereum whaler pada ke solana kah turun begitu,2025-01-18 20:26:07+00:00,X,netral,1.0,0,ethereum whaler solana kah turun begitu
69,0nlyCaliCash,maaf takut ketinggalan tapi gaji bulan ini untuk ripple,2025-01-18 06:58:37+00:00,X,netral,1.0,0,maaf takut ketinggalan gaji bulan ripple
70,Shit Post,dear kalau ingin turun turun sendiri saja ajg gausah ngajak yang lain,2025-01-18 04:33:59+00:00,X,negative,1.0,2,dear ingin turun turun sendiri ajg gausah ngajak lain
71,cokri.btc,strategi focus cari untung di web saya kerja di blockchain layer kripto dan sekarang kerja di oasis protocol garap tipis tipis airdroid strategi kalian bagaimana,2025-01-18 03:58:50+00:00,X,netral,1.0,0,strategi focus cari untung web kerja blockchain layer kripto sekarang kerja oasis protocol garap tipis tipis airdroid strategi kalian
72,lic,bitcoin nih kurang ajar naek tidak ngajak ngajak turun ngajak ngajak,2025-01-17 17:27:28+00:00,X,negative,1.0,2,bitcoin nih kurang ajar naek ngajak ngajak turun ngajak ngajak
73,Mr. DEX Jr,kalau bitcoin naik altcoin kalian naiknya dikit kalau turun junam tertawa buruk kekya cuman solana sui dan beberapa the winner big attention yang fats rebounce,2025-01-17 13:08:29+00:00,X,negative,1.0,2,bitcoin naik altcoin kalian naiknya dikit turun junam tertawa buruk kekya cuman solana sui beberapa the winner big attention fats rebounce
74,Mr. DEX Jr,harap bersabar holder ethereum ethereum bitcoin lagi bottoming solana rebouncenya wow banget udah kaya harga pas januari sebelum harga turun,2025-01-17 12:50:25+00:00,X,positive,1.0,1,harap bersabar holder ethereum ethereum bitcoin lagi bottoming solana rebouncenya wow banget udah kaya harga pas januari sebelum harga turun
75,Samin Kartodikromo,kripto ini kadang memang kek anjing ditungguin untung udah nyentuh tidak naik malah turun besoknya ambles minus lagi giliran ambil untung tiba naik jadi besoknya,2025-01-17 06:51:06+00:00,X,negative,1.0,2,kripto kadang memang kek anjing ditungguin untung udah nyentuh naik malah turun besoknya ambles minus lagi giliran ambil untung tiba naik jadi besoknya
76,Stevie klause,mendingan itu duit untuk judol kamu belin bitcoin sudah pasti untung hahahaha,2025-01-17 06:49:39+00:00,X,positive,1.0,1,mendingan duit judol belin bitcoin pasti untung hahahaha
77,Walfern ðŸ‡®ðŸ‡©,makan itu altcoin season saya anjeng nunggu pergerakan market pas pelantikan trump iya kalau tren naik kalau tren turun vanry saya jadi abu asu,2025-01-16 22:09:11+00:00,X,negative,1.0,2,makan altcoin season anjeng nunggu pergerakan market pas pelantikan trump iya tren naik tren turun vanry jadi abu asu
79,Blackx Cuan,berapa prediksi harga bitcoin saat pelantika presiden trump,2025-01-16 16:38:49+00:00,X,netral,1.0,0,berapa prediksi harga bitcoin saat pelantika presiden trump
80,Adhit,nc ingin list bitcoin turun,2025-01-16 15:06:32+00:00,X,negative,1.0,2,nc ingin list bitcoin turun
81,anisabayan,semua orang media besar bilang bitcoin akan naik jangan malah turun,2025-01-16 10:27:35+00:00,X,netral,1.0,0,semua orang media besar bilang bitcoin naik jangan malah turun
82,marr,goks juga karena suku bunga turun lgsg naik bitcoin,2025-01-16 09:19:41+00:00,X,positive,1.0,1,goks suku bunga turun lgsg naik bitcoin
83,RTJ,ripple amp velo full senyum happy untung tetap semangat untuk kita semua god bless us,2025-01-16 00:16:09+00:00,X,positive,1.0,1,ripple amp velo full senyum happy untung tetap semangat semua god bless us
84,Kriptofess,kpt data cpi nya tren naik atau tren turun om mudah mudahn altcoin naik,2025-01-15 13:48:16+00:00,X,netral,1.0,0,kpt data cpi nya tren naik tren turun om mudah mudahn altcoin naik
85,BuzzUp IDN ðŸ‡®ðŸ‡©,hari yang lalu bitcoin sempet turun ke harga tapi sekarang udah rebound ke sudah naik hampir ada yang ikutan beli harga bawah,2025-01-15 08:03:08+00:00,X,positive,1.0,1,hari lalu bitcoin sempet turun harga sekarang udah rebound naik hampir ikutan beli harga bawah
86,Mulung Koin ðŸ‡®ðŸ‡©,dengan ini saya nyatakan altcoin season dimulai ayok guys borong mari kita takut ketinggalan bareng bareng kalian beli biar saya tepe i told you,2025-01-15 07:48:51+00:00,X,positive,1.0,1,nyatakan altcoin season dimulai ayok guys borong takut ketinggalan bareng bareng kalian beli biar tepe i told you
87,rassc,tahu tidak sih kripto itu tidak cuma soal untung tapi juga belajar sabar amp strategi kalau kamu cuma takut ketinggalan siap siap jadi donatur market investasi yang benar itu pakai rencana bukan emosi,2025-01-15 04:47:37+00:00,X,netral,1.0,0,tahu kripto cuma soal untung belajar sabar amp strategi cuma takut ketinggalan siap siap jadi donatur market investasi benar pakai rencana bukan emosi
88,TBX,disaat semua influencer melakukan push media disaat itulah kamu exit secara penuh influence kripto kebanyakan insider mereka memanfaatkan takut ketinggalan melalui reach yang mereka punya untuk merontokkan liquiditas,2025-01-15 00:43:25+00:00,X,negative,1.0,2,disaat semua influencer melakukan push media disaat itulah exit secara penuh influence kripto kebanyakan insider memanfaatkan takut ketinggalan melalui reach punya merontokkan liquiditas
89,NDORO PUTRI ðŸ’…ðŸ»ðŸª,bitcoin turun tapi kamu gapegang cash,2025-01-14 15:40:47+00:00,X,netral,1.0,0,bitcoin turun gapegang cash
90,ðŸ§šðŸ¼â€â™€ï¸ðŸ§šðŸ¼â€â™€ï¸,ripple naik yang lain turun drastis jadi ttp saja tidak untung,2025-01-14 07:48:41+00:00,X,negative,1.0,2,ripple naik lain turun drastis jadi ttp untung
91,gyan baba,dogecoin coin doller nhi gya me elon kuch nhi bola kya bitcoin trump ke aane ke baad harga naik hoga trump kuch nhi karega or bitcoin harga turun k,2025-01-14 00:47:29+00:00,X,netral,1.0,0,dogecoin coin doller nhi gya me elon kuch nhi bola kya bitcoin trump aane baad harga naik hoga trump kuch nhi karega or bitcoin harga turun k
93,Jemmy (Ï„),ini kripto wajib harga turun sih retailnya masih kuat ngehold,2025-01-13 16:45:10+00:00,X,negative,1.0,2,kripto wajib harga turun retailnya masih kuat ngehold
94,Fakhri,altcoin season kyknya tidak akan ada mari hibernasi sampai tren turun,2025-01-13 15:14:19+00:00,X,negative,1.0,2,altcoin season kyknya hibernasi sampai tren turun
96,0xbt ðŸ¦Š,influencer indo ngasih info abal tentang bitcoin dan altcoin turun yang benar trump sedang jualan buat pembangunan di la,2025-01-13 14:40:39+00:00,X,negative,1.0,2,influencer indo ngasih info abal tentang bitcoin altcoin turun benar trump sedang jualan buat pembangunan la
97,SEKILAS KRIPTO,turun ke bawah turun ke bawah,2025-01-13 14:36:04+00:00,X,netral,1.0,0,turun bawah turun bawah
98,pamanberuang ðŸ‡®ðŸ‡©,tahukah kamu kalau bentar lagi amerika akan punya presiden pertama yang pro dan kamu tren turun,2025-01-13 13:55:25+00:00,X,netral,1.0,0,tahukah bentar lagi amerika punya presiden pertama pro tren turun
99,Jay,ethereum bajingan bitcoin cuman turun sekian elo kenapaa dapat x nya turun dari bitcoin,2025-01-13 13:44:15+00:00,X,negative,1.0,2,ethereum bajingan bitcoin cuman turun sekian elo kenapaa dapat x nya turun bitcoin
100,Crypto Daily - Indonesia ðŸ‡®ðŸ‡©,breaking microstrategy milik michael saylor membeli lagi bitcoin senilai juta rp triliun rasakan itu di beli harga bawah lagi induknya whale dikasih diskon malah koar tidak jelas bukan nya buy dca,2025-01-13 13:13:00+00:00,X,positive,1.0,1,breaking microstrategy milik michael saylor membeli lagi bitcoin senilai juta rp triliun rasakan beli harga bawah lagi induknya whale dikasih diskon malah koar jelas bukan nya buy dca
101,lany.esperado,setiap altcoin turun pada tweet this is final shakeout seriuss tanya sebenarnya ada berapa final shakeout di kripto kek tidak hbs final shakeoutnya,2025-01-13 13:07:37+00:00,X,negative,1.0,2,setiap altcoin turun tweet this is final shakeout seriuss tanya sebenarnya berapa final shakeout kripto kek hbs final shakeoutnya
102,One Day Slow Living,ihsg turun bitcoin turun emas turun gaji belum turun,2025-01-13 12:36:11+00:00,X,negative,1.0,2,ihsg turun bitcoin turun emas turun gaji belum turun
103,y,kenapa ripple community ingin banget bitcoin harga turun bahkan sampai ke dan sebaliknya ngarep ripple ke k kenapa sih punya masalah apa sama bitcoin,2025-01-13 11:37:43+00:00,X,netral,1.0,0,ripple community ingin banget bitcoin harga turun bahkan sampai sebaliknya ngarep ripple k punya masalah sama bitcoin
104,Dellons.ton ðŸ’Ž,ketika soon naik kalian takut ketinggalan beli ketika soon harga rendah kalian takut beli next good news jan trump di lantik jan airdrop soon di burn,2025-01-13 11:21:48+00:00,X,netral,1.0,0,ketika soon naik kalian takut ketinggalan beli ketika soon harga rendah kalian takut beli next good news jan trump lantik jan airdrop soon burn
105,kotarominami.eth,investasi tapi tidak ingin rugi tolol kalau kripto pasti menguntungkan dan semua jenis investasi pasti bikin untung ngapain saya mesti capek kerja di tempat dalam sehari mending main kripto saja ya kan,2025-01-12 18:35:00+00:00,X,negative,1.0,2,investasi ingin rugi tolol kripto pasti menguntungkan semua jenis investasi pasti bikin untung ngapain mesti capek kerja tempat sehari mending main kripto
106,sol,td heran lihat stock kripto turun ternyata memang lg dahsyat,2025-01-12 12:54:26+00:00,X,negative,1.0,2,td heran lihat stock kripto turun ternyata memang lg dahsyat
107,jojoeth,ethereum sisa malah all in karena takut ketinggalan babi malah kerugg tertawa,2025-01-12 08:29:33+00:00,X,negative,1.0,2,ethereum sisa malah all in takut ketinggalan babi malah kerugg tertawa
108,Bagian Nengok Nengok,lama banget tidak cek porto kripto ternyata takut ketinggalan sekali dulu sampe terjebak rugi banyak ternyata,2025-01-12 08:17:11+00:00,X,negative,1.0,2,lama banget cek porto kripto ternyata takut ketinggalan sekali dulu sampe terjebak rugi banyak ternyata
109,OverTheIndex,pasar kripto hanya dimiliki oleh ripple bitcoin turun ripple dan xlm harga naik sendiri,2025-01-11 17:41:49+00:00,X,netral,1.0,0,pasar kripto hanya dimiliki oleh ripple bitcoin turun ripple xlm harga naik sendiri
110,rassc,kripto market itu rollercoaster naik turun bukan buat orang yang tidak sabaran kalau tidak siap mental mending jadi hodler saja beli tahan lupakan kadang untung terbesar datang dari yang sabar,2025-01-11 14:23:42+00:00,X,netral,1.0,0,kripto market rollercoaster naik turun bukan buat orang sabaran siap mental mending jadi hodler beli tahan lupakan kadang untung terbesar datang sabar
