,username,text,created_at,sumber
14,â™Ÿï¸,before sign president kita buat meme coin bagi orang percaya yang kripto nak letup after harga turun now all mdfkers,Mon Jan 27 07:35:06 +0000 2025,X
15,Stephanus (â—•â€¿â—• ),lihat berita trump tren naik bitcoin sama seperti dejavu jokowi suntik covid pertama x dipikir inaf kaef semakin naik ke lebih ternyata dihajar turun drastis apakah benar salah prediksi btcnya,Mon Jan 27 05:12:29 +0000 2025,X
16,Foets,semoga terjadi keajaiban terhadarp kripto yang tiap hari turun slama bulan,Mon Jan 27 04:20:43 +0000 2025,X
17,Cryptocium,saya agak heran dengan orang yang tren turun ke ethereum hightimeframe selalu menang dari lowtimeframe di maket yang volatile believe in hightimeframe believe in something,Sun Jan 26 11:01:16 +0000 2025,X
18,Menjadi Trader,semua bilang trading kripto itu untung gede tapi tidak ada yang cerita bagaimana rasa sakitnya pas likuidasi habis yang survive bukan yang pintar tapi yang tahu kapan harus berhenti,Sun Jan 26 09:10:53 +0000 2025,X
19,XueeiN (mainnet arc),level kunci support untuk si perkiraan di untuk waspadai level ini pnting untuk momentum tren naik volume perdagangan sejak desember dari bitcoin turun menjadi bitcoin pada januari,Sun Jan 26 07:04:07 +0000 2025,X
20,Dark_art,jian bitcoin laknat dom turun ikut turun dom naik ikut naik semua liquidity di bitcoin,Sun Jan 26 02:08:31 +0000 2025,X
21,0xPadiel,just scored my airdrop dapat token cuma karena akun twitter saya udah tua siapa sangka umur akun dapat jadi untung kamu udah dapat belum kalau belum keburu nyesel nih,Sun Jan 26 00:22:47 +0000 2025,X
22,"KuperCapital (âœ¸,âœ¸)",tren naik terhadap tren turun terhadap token sampah meme solana,Sat Jan 25 10:52:32 +0000 2025,X
23,kotarominami.eth,meski tidak memawarkan kalian untung setidaknya di kripto twitter land akun saya juga ingin punya sedikit sedikt saja manfaat buat perkembangan web di indo,Sat Jan 25 03:13:06 +0000 2025,X
24,Alfiansyah,oh come on masa gara digital asset tulisannya bukan kripto jadinya turun market so dumb,Thu Jan 23 21:10:16 +0000 2025,X
25,Menjadi Trader,kalau trading kripto bikin kamu stres mungkin kamu tidak cocok jadi trader ini bukan soal untung saja tapi soal mental banyak yang kalah bukan karena ilmunya kurang tapi karena mentalnya tidak siap,Thu Jan 23 17:26:11 +0000 2025,X
26,delfia,sekarang bitcoin turun lagi berasa kena prank saja,Thu Jan 23 15:15:17 +0000 2025,X
27,Akbrrrsw.,sudah paling benar itu beli bitcoin beli altcoin kalau lagi harga turun buruk saja baru masuk beli,Thu Jan 23 11:54:00 +0000 2025,X
28,seutas_kenangan âœ¨ï¸,ethereum ini ingin apa sih wow naik engga yang lain turun malah ikut turun aneh looo,Thu Jan 23 05:09:40 +0000 2025,X
29,Blackx Cuan,pboc ada injeksi dana ke pasar saham ya gess dampaknya ke market bagaimana dan kapan biarlah bitcoin yang kasih tahu nanti,Thu Jan 23 02:07:28 +0000 2025,X
30,bukan trader,ketika banyak berita negatif palsu di ethereum kmgkinan akan segera di kirim ke ath,Thu Jan 23 01:36:04 +0000 2025,X
31,Sinau â‚¿itcoin ðŸ§¡,tik tok sakpunika sampun wanci block saiki gek ungsum singkatan tidak ingin melu kagem dulur balung kere sing sabar yo lur regane gek arep larang meneh mugi diparingi diskonan malih,Wed Jan 22 20:20:18 +0000 2025,X
32,Chartenz,hanya satu pintaku tolong bitcoin sideways dominance turun,Wed Jan 22 14:04:58 +0000 2025,X
34,Ancy,bagaimana pandangannya tentang pergerakan harga ethereum apakah naik atau turun untuk minggu ke depan,Wed Jan 22 05:56:40 +0000 2025,X
35,Hyoora ðŸŒ»,lihat market turun malah panik lihat market naik malah tamak duh bagaimana ingin untung kalau begitu tertawa,Tue Jan 21 19:57:44 +0000 2025,X
36,RZ,kripto penipuan bitcoin naik altcoin tidak naik giliran turun ngajak,Tue Jan 21 12:39:14 +0000 2025,X
37,Pencari Cuan,bli kalau diperhatikan efek trump turun ethereum dan atl ikut turun juga nih dan saya kan yakin itu trump bakal turun banget jadi deg an,Tue Jan 21 01:13:52 +0000 2025,X
38,DjiwaCrypTo,bitcoin sudah seperti naik cepat turun cepat,Mon Jan 20 22:50:36 +0000 2025,X
39,axel,pantes harga turun donald trump tidak mention kripto pas di pidatonya,Mon Jan 20 18:10:59 +0000 2025,X
40,MY.SOL,no mention of kripto the trump harga turun will be real ttugjbyk aedrpacfyygi zpujja yh bsrppump,Mon Jan 20 17:44:58 +0000 2025,X
41,pengepul coin,trump dilantik kenapa bitcoin turun tertawa,Mon Jan 20 17:08:33 +0000 2025,X
42,0nlyCaliCash,okee mungkin saya kedengaran kek bocah takut ketinggalan kripto tapi ini lucu saya baru bikin lagu pokoke liriknya keatas macamku solana pas kelar mixing malah turun,Mon Jan 20 16:38:30 +0000 2025,X
43,Abipraya,menunggu tahun buat untung kripto,Mon Jan 20 14:44:32 +0000 2025,X
44,raz faraz,bitcoin turun semua turun bitcoin naik semua tidak naik naik,Mon Jan 20 13:33:23 +0000 2025,X
45,yumalida,tumben tarik dana ts belum masuk jam segini ingin beli harga bawah bitcoin dahal siapa tahu dapat k malem ini ye kan,Mon Jan 20 13:21:46 +0000 2025,X
46,ðŸ†‚itajalwaysjp,kata taket bitcoin baru menyentuh ke k di iya si dari kemaren market turun mulu tertawa yang naik cuman solana itu pun karena donald trump saja,Mon Jan 20 12:53:04 +0000 2025,X
47,Crypto Ndo! ðŸ‡®ðŸ‡©,desci belum saatnya tapi kalau nanti altcoin season berjalan bio tetap akan naik tapi tidak tahu akan jadi berapa buat kalian yang terjebak rugi di bio tunggu dan berharap saja biar altcoin season berjalan secepatnya,Mon Jan 20 11:00:12 +0000 2025,X
48,Mas Jingan ðŸ§,ingin invest bitcoin nunggu harga turun malah naik terus anjer,Mon Jan 20 07:53:28 +0000 2025,X
49,Triv Exchange,bitcoin sempat cetak ath ke k trivers ada yang nyesel belum sempet beli harga bawah atau malah udah pada tapi nih jangan lupa di triv biar tidak kehilangan momen ath berikutnya,Mon Jan 20 07:51:13 +0000 2025,X
50,nate,bitcoin wow naik turun secepat kilat,Mon Jan 20 07:07:27 +0000 2025,X
51,CP,kalau dipikir lebih enak tidurnya orang menabung di bitcoin tanpa melihat chart candle tanpa mendengar berita market ketimbang orang yang paham ilmunya tentang chart dan fundamental dia konsisten menabung bitcoin walaupun harga naik ataupun turun,Mon Jan 20 05:43:23 +0000 2025,X
52,Steven,mampos harga turun asw liq masuk ke trump altcoin bongko,Mon Jan 20 00:30:16 +0000 2025,X
53,y,kalian sakit hati tidak melihat sendiri bagaiamana orang yang kita anggap akan mengedukasi lebih banyak orang tentang kripto ternyata hanya memperjelas dan memanfaatkan fenomena harga naik harga turun,Sun Jan 19 23:44:54 +0000 2025,X
54,sys || 94.6,bitcoin k altcoin serasa tren turun anjingg tahu begitu golput saja,Sun Jan 19 23:42:12 +0000 2025,X
55,Xentens,giliran trump beli ethereum pada turun jugaa semua altcoin market memang edan,Sun Jan 19 22:40:01 +0000 2025,X
56,DegenboissðŸ¦›,yang berita negatif palsu ethereum si orang paling aneh di dunia,Sun Jan 19 14:04:32 +0000 2025,X
57,Le FlÃ¢neur,dari dulu tidak nemu apa fundamentalnya kripto tapi kalau untung ya untung,Sun Jan 19 11:38:52 +0000 2025,X
58,alwaysgrumpy,analisa pribadi sok pinter saja pelantikan trump trump harga turun money flow ke altcoin,Sun Jan 19 11:29:26 +0000 2025,X
59,Yunepto,ku salut sama kalian yang berani masuk beli trump di beberapa jam lalu ku tidak berani jujur saja karena ngerasa udah ketinggalan amp takut terjebak rugi di pucuk mencoba cari rejeki dari aset kripto lain,Sun Jan 19 10:16:41 +0000 2025,X
60,ys,ripple turun terus jadi ragu sudah,Sun Jan 19 09:28:06 +0000 2025,X
61,hanlivestrong,bitcoin kalau sore sore begini naik turun bjir,Sun Jan 19 09:26:59 +0000 2025,X
62,shawnmichelster,luna next bitcoin harga turun mein ki range kenapa jab bye bye bolega tab meri taraf se,Sun Jan 19 07:17:38 +0000 2025,X
63,Daffa dzakwan,main saham turun pegang uang cash kena inflasi ingin usaha bingung mulai dari mana sebaiknya uang kita harus diapain selain average down ripple solusinya,Sun Jan 19 07:09:02 +0000 2025,X
64,Trader Receh,meskipun besok trump dilantik yang dapat menghentikan takut ketinggalan trump adalah ath bitcoin mungkin besok atau lusa,Sun Jan 19 05:41:19 +0000 2025,X
65,Duta Crypto,trump hype tukang takut ketinggalan meme yang sebelumnya ngilang akhirnya pada aktif lagi terimakasih trump,Sun Jan 19 03:32:12 +0000 2025,X
66,corazon,misal hari lalu masuk beli solana udah lumayan tapi saya malah masuk beli bitcoin mayan juga sih untung ribu,Sun Jan 19 03:23:00 +0000 2025,X
67,Rahmadi,ethereum bangke bitcoin binance coin ssol udah pada new ath ini malah makin nyungsep kek koin micin bitcoin harga turun dia paling banyak turun,Sun Jan 19 02:34:50 +0000 2025,X
68,gothmferrrrrrrrrrrrrrrrr,ethereum whaler pada ke solana kah turun begitu,Sat Jan 18 20:26:07 +0000 2025,X
69,0nlyCaliCash,maaf takut ketinggalan tapi gaji bulan ini untuk ripple,Sat Jan 18 06:58:37 +0000 2025,X
70,Shit Post,dear kalau ingin turun turun sendiri saja ajg gausah ngajak yang lain,Sat Jan 18 04:33:59 +0000 2025,X
71,cokri.btc,strategi focus cari untung di web saya kerja di blockchain layer kripto dan sekarang kerja di oasis protocol garap tipis tipis airdroid strategi kalian bagaimana,Sat Jan 18 03:58:50 +0000 2025,X
72,lic,bitcoin nih kurang ajar naek tidak ngajak ngajak turun ngajak ngajak,Fri Jan 17 17:27:28 +0000 2025,X
73,Mr. DEX Jr,kalau bitcoin naik altcoin kalian naiknya dikit kalau turun junam tertawa buruk kekya cuman solana sui dan beberapa the winner big attention yang fats rebounce,Fri Jan 17 13:08:29 +0000 2025,X
74,Mr. DEX Jr,harap bersabar holder ethereum ethereum bitcoin lagi bottoming solana rebouncenya wow banget udah kaya harga pas januari sebelum harga turun,Fri Jan 17 12:50:25 +0000 2025,X
75,Samin Kartodikromo,kripto ini kadang memang kek anjing ditungguin untung udah nyentuh tidak naik malah turun besoknya ambles minus lagi giliran ambil untung tiba naik jadi besoknya,Fri Jan 17 06:51:06 +0000 2025,X
76,Stevie klause,mendingan itu duit untuk judol kamu belin bitcoin sudah pasti untung hahahaha,Fri Jan 17 06:49:39 +0000 2025,X
77,Walfern ðŸ‡®ðŸ‡©,makan itu altcoin season saya anjeng nunggu pergerakan market pas pelantikan trump iya kalau tren naik kalau tren turun vanry saya jadi abu asu,Thu Jan 16 22:09:11 +0000 2025,X
79,Blackx Cuan,berapa prediksi harga bitcoin saat pelantika presiden trump,Thu Jan 16 16:38:49 +0000 2025,X
80,Adhit,nc ingin list bitcoin turun,Thu Jan 16 15:06:32 +0000 2025,X
81,anisabayan,semua orang media besar bilang bitcoin akan naik jangan malah turun,Thu Jan 16 10:27:35 +0000 2025,X
82,marr,goks juga karena suku bunga turun lgsg naik bitcoin,Thu Jan 16 09:19:41 +0000 2025,X
83,RTJ,ripple amp velo full senyum happy untung tetap semangat untuk kita semua god bless us,Thu Jan 16 00:16:09 +0000 2025,X
84,Kriptofess,kpt data cpi nya tren naik atau tren turun om mudah mudahn altcoin naik,Wed Jan 15 13:48:16 +0000 2025,X
85,BuzzUp IDN ðŸ‡®ðŸ‡©,hari yang lalu bitcoin sempet turun ke harga tapi sekarang udah rebound ke sudah naik hampir ada yang ikutan beli harga bawah,Wed Jan 15 08:03:08 +0000 2025,X
86,Mulung Koin ðŸ‡®ðŸ‡©,dengan ini saya nyatakan altcoin season dimulai ayok guys borong mari kita takut ketinggalan bareng bareng kalian beli biar saya tepe i told you,Wed Jan 15 07:48:51 +0000 2025,X
87,rassc,tahu tidak sih kripto itu tidak cuma soal untung tapi juga belajar sabar amp strategi kalau kamu cuma takut ketinggalan siap siap jadi donatur market investasi yang benar itu pakai rencana bukan emosi,Wed Jan 15 04:47:37 +0000 2025,X
88,TBX,disaat semua influencer melakukan push media disaat itulah kamu exit secara penuh influence kripto kebanyakan insider mereka memanfaatkan takut ketinggalan melalui reach yang mereka punya untuk merontokkan liquiditas,Wed Jan 15 00:43:25 +0000 2025,X
89,NDORO PUTRI ðŸ’…ðŸ»ðŸª,bitcoin turun tapi kamu gapegang cash,Tue Jan 14 15:40:47 +0000 2025,X
90,ðŸ§šðŸ¼â€â™€ï¸ðŸ§šðŸ¼â€â™€ï¸,ripple naik yang lain turun drastis jadi ttp saja tidak untung,Tue Jan 14 07:48:41 +0000 2025,X
91,gyan baba,dogecoin coin doller nhi gya me elon kuch nhi bola kya bitcoin trump ke aane ke baad harga naik hoga trump kuch nhi karega or bitcoin harga turun k,Tue Jan 14 00:47:29 +0000 2025,X
93,Jemmy (Ï„),ini kripto wajib harga turun sih retailnya masih kuat ngehold,Mon Jan 13 16:45:10 +0000 2025,X
94,Fakhri,altcoin season kyknya tidak akan ada mari hibernasi sampai tren turun,Mon Jan 13 15:14:19 +0000 2025,X
96,0xbt ðŸ¦Š,influencer indo ngasih info abal tentang bitcoin dan altcoin turun yang benar trump sedang jualan buat pembangunan di la,Mon Jan 13 14:40:39 +0000 2025,X
97,SEKILAS KRIPTO,turun ke bawah turun ke bawah,Mon Jan 13 14:36:04 +0000 2025,X
98,pamanberuang ðŸ‡®ðŸ‡©,tahukah kamu kalau bentar lagi amerika akan punya presiden pertama yang pro dan kamu tren turun,Mon Jan 13 13:55:25 +0000 2025,X
99,Jay,ethereum bajingan bitcoin cuman turun sekian elo kenapaa dapat x nya turun dari bitcoin,Mon Jan 13 13:44:15 +0000 2025,X
100,Crypto Daily - Indonesia ðŸ‡®ðŸ‡©,breaking microstrategy milik michael saylor membeli lagi bitcoin senilai juta rp triliun rasakan itu di beli harga bawah lagi induknya whale dikasih diskon malah koar tidak jelas bukan nya buy dca,Mon Jan 13 13:13:00 +0000 2025,X
101,lany.esperado,setiap altcoin turun pada tweet this is final shakeout seriuss tanya sebenarnya ada berapa final shakeout di kripto kek tidak hbs final shakeoutnya,Mon Jan 13 13:07:37 +0000 2025,X
102,One Day Slow Living,ihsg turun bitcoin turun emas turun gaji belum turun,Mon Jan 13 12:36:11 +0000 2025,X
103,y,kenapa ripple community ingin banget bitcoin harga turun bahkan sampai ke dan sebaliknya ngarep ripple ke k kenapa sih punya masalah apa sama bitcoin,Mon Jan 13 11:37:43 +0000 2025,X
104,Dellons.ton ðŸ’Ž,ketika soon naik kalian takut ketinggalan beli ketika soon harga rendah kalian takut beli next good news jan trump di lantik jan airdrop soon di burn,Mon Jan 13 11:21:48 +0000 2025,X
105,kotarominami.eth,investasi tapi tidak ingin rugi tolol kalau kripto pasti menguntungkan dan semua jenis investasi pasti bikin untung ngapain saya mesti capek kerja di tempat dalam sehari mending main kripto saja ya kan,Sun Jan 12 18:35:00 +0000 2025,X
106,sol,td heran lihat stock kripto turun ternyata memang lg dahsyat,Sun Jan 12 12:54:26 +0000 2025,X
107,jojoeth,ethereum sisa malah all in karena takut ketinggalan babi malah kerugg tertawa,Sun Jan 12 08:29:33 +0000 2025,X
108,Bagian Nengok Nengok,lama banget tidak cek porto kripto ternyata takut ketinggalan sekali dulu sampe terjebak rugi banyak ternyata,Sun Jan 12 08:17:11 +0000 2025,X
109,OverTheIndex,pasar kripto hanya dimiliki oleh ripple bitcoin turun ripple dan xlm harga naik sendiri,Sat Jan 11 17:41:49 +0000 2025,X
110,rassc,kripto market itu rollercoaster naik turun bukan buat orang yang tidak sabaran kalau tidak siap mental mending jadi hodler saja beli tahan lupakan kadang untung terbesar datang dari yang sabar,Sat Jan 11 14:23:42 +0000 2025,X
111,Strangers,dibuat untuk melunasi hutang amerika setelah hutang amerika lunas yang dibayar menggunakan maka akan langsung harga turun ke harga,Sat Jan 11 11:35:52 +0000 2025,X
112,Andriy,bitcoin usd lanjut turun lagi elliott wave analysis,Sat Jan 11 11:12:27 +0000 2025,X
113,kelca,bitcoin turun mulu deh pusing,Sat Jan 11 09:05:59 +0000 2025,X
114,rekomendasiin ahh,di lihat lihat kalau bitcoin turun bgb tetep naik tertawa,Sat Jan 11 04:22:49 +0000 2025,X
115,RyooðŸª,kripto market turuu turuu lgi yuk semingguan ini biar orderan beli harga bawah ku kejemput,Fri Jan 10 16:07:27 +0000 2025,X
116,Bicara-Krypto (multichain),bullrun banget ini berbeza dengan sebelum ini di mana bitcoin naik sorang sorang tanpa pedulikan altcoin tapi bila bitcoin turun dia ajak altcoin turun sekali,Fri Jan 10 07:58:01 +0000 2025,X
117,Egi Saputra,buat coin all kripto gapapa turun dulu ampe dasar biar dapat di jemputwkwk,Fri Jan 10 02:43:29 +0000 2025,X
118,Ashik,setelah harga turun dan tidak sedikit yang terlikuidisi apakah akan altcoin season yang nampaknya udah mulai meroket,Fri Jan 10 02:13:30 +0000 2025,X
119,Sam,cara menebak market itu begini ketika harga naik maka harga akan turun dan setelah harga turun maka harga akan naik,Thu Jan 09 16:56:10 +0000 2025,X
120,Mr Chuanx || Meshchain.Ai,pertanyaannya kenapa banyak yang ngefud bitcoin akan turun dalam karena merekalah yang sudah nunggu dan akan nyerok lebih dalam udah jelas bahwa dia adalah pelakunya haha,Thu Jan 09 16:11:53 +0000 2025,X
121,Ahmad Krip,bitcoin sudah jadi k sudah turun lagi beli,Thu Jan 09 15:04:11 +0000 2025,X
122,Cher Rizka,di rumah ada kubu dia yang berharap bitcoin naik dan saya yang berharap bitcoin turun,Thu Jan 09 14:51:11 +0000 2025,X
123,Rays AU,tren turun saat ini kesempatan buy sebelum donald trump dilantik yang akan mendorong harga naik pada kripto,Thu Jan 09 14:46:31 +0000 2025,X
124,yasaðŸƒ,maaaakkkkk help me bitcoin ingin kemana makkkk,Thu Jan 09 14:38:07 +0000 2025,X
125,Dedyrama Senju,nunggu berita michael saylor borong bitcoin disaat bitcoin lagi turun beginii,Thu Jan 09 14:32:43 +0000 2025,X
126,unknown.forever,terkadang jadi bodoh ketika bitcoin harga turun buruk dan saya memilih tidur dikala market merosot,Thu Jan 09 14:09:05 +0000 2025,X
127,zk0x /// â„¹ï¸,bag ngefud half bag nyicil full bag full takut ketinggalan full tether ingin nya bitcoin k psikologi manusia,Thu Jan 09 12:02:45 +0000 2025,X
128,Asep ðŸ’¹ðŸ§²,besok non farm payroll nfp akan diumumkan data ini sering menggerakkan pasar besar termasuk kripto prediksi kalian angka nfp naik usd kuat angka nfp turun kripto rally apa strategi tradingmu,Thu Jan 09 08:00:01 +0000 2025,X
129,kripto merdeka,shocking news ethereum foundation lakukan penjualan ethereum pertama di spekulasi pasar pertanda tren tren turun a thread,Wed Jan 08 17:31:08 +0000 2025,X
130,Bicara-Krypto (multichain),tren naik energy hanya pada bitcoin amp segelintir altcoin tapi kebanyakan altcoin masih dalam tren turun energy,Wed Jan 08 07:00:05 +0000 2025,X
132,Sarjana Crypto,ai agents depin dan rwa akan jadi top narasi di berikut beberapa platform yang dapat bantu kita riset untuk untung di narasi ini dan menghemat biaya riset yang mahal mahal utas,Wed Jan 08 04:59:37 +0000 2025,X
133,Kriptofess,kpt denger rumor bitcoin turun karena ada yang abis live,Wed Jan 08 03:49:09 +0000 2025,X
134,Arcponential,bitcoin turun lebih dari kembali ke level k,Wed Jan 08 02:43:26 +0000 2025,X
135,ðŸ†Žey,fak wow kebanyakan us stock bitcoin turun semua kocak,Wed Jan 08 01:33:51 +0000 2025,X
136,"KuperCapital (âœ¸,âœ¸)",repeat perilaku pasar setelah saylor membeli akan turun sebelum naik kembali,Tue Jan 07 15:43:37 +0000 2025,X
137,Ù…Ø­Ù…Ø¯ Ù†Ø¹ÙŠÙ…,any news on kripto harey laju turun,Tue Jan 07 15:18:32 +0000 2025,X
138,XYWALF,saya si ogah ya komen di akun goverment yang nyari engagement dari kripto gada konstribusi apa apa mereka dalam hal saya mendapatkan untung tiba tiba malakin uang situ parkir liar atau pemerintahan liar,Tue Jan 07 12:44:13 +0000 2025,X
139,Angga Andinata,tether berita negatif palsu mulai memudar ada episode berita negatif palsu baru blackrock fork bitcoin microstrategy buat yang tidak pernah dig the rabbit hole pasti bakal kena gocek,Tue Jan 07 01:19:15 +0000 2025,X
140,SS,asli yang tahan bitcoin lihat kenaikan malam ini mah senyum girang setelah akhir tahun tren turun,Mon Jan 06 16:35:33 +0000 2025,X
141,Menjadi Trader,grup kripto itu isinya orang cari sinyal gratis next coin x katanya tren turun market bikin panik rumor whale masuk tapi yang untung mereka yang riset sendiri jangan males belajar saudara,Mon Jan 06 16:26:50 +0000 2025,X
142,Halo Kripto,setelah menembus k selanjutnya dalam waktu dekat bitcoin akan turun ke harga bawah dollar,Mon Jan 06 15:55:58 +0000 2025,X
143,nahruddinkasim,beli kripto dengan semangat diindodax untung didapat harapan besar terus melekat menuju masa depan yang hebat,Mon Jan 06 09:25:20 +0000 2025,X
144,DesaBlockChain369,pasar kripto memanas bitcoin di k altcoin naik tajam bitcoin bitcoin stabil di setelah sempat turun ke,Sun Jan 05 10:55:46 +0000 2025,X
145,Goodmines,keknya kalau main kripto saya belajar lagi deh kalau takut ketinggalan takut mentalku tidak kuat uang saja ingin tidak pakai buat beli jaket dulu tertawa,Sun Jan 05 04:07:03 +0000 2025,X
146,Vesper,hari ini nyoba trading kripto sehari sudah untung k,Sat Jan 04 08:01:22 +0000 2025,X
147,erin,saya ingin investasi di saham us saja deh saham indo buat cari untung saya udah agak males sama ini kripto,Fri Jan 03 23:05:03 +0000 2025,X
148,Crypto Rich Indonesia,berdoa saja ethereum dapat new ath karena kalau dia naik seluruh ekosistemnya pasti terbang termasuk l mu yang terjebak rugi all in itu,Fri Jan 03 15:01:50 +0000 2025,X
149,Alda | #LawanJudolDenganInvestasi,tiap postingan cryptobros lewat kayanya gampang amat sudah cari untung di kripto,Thu Jan 02 13:17:48 +0000 2025,X
150,distoPIA,tidak ada yang takut ketinggalan beli vga ini buat minning bitcoin milyar,Thu Jan 02 10:18:41 +0000 2025,X
151,Cappuccino,altcoin mulai mengambil momentum bitcoin udah bouncing btcd turun altseason benar udah dimulai,Thu Jan 02 08:13:43 +0000 2025,X
152,DesaBlockChain369,ripple dari tenang ke meroket ripple melonjak dari ke hampir usai donald trump terpilih kembali dan gary gensler mundur dari sec meski sempat turun ripple tutup di,Wed Jan 01 23:18:47 +0000 2025,X
153,alwaysgrumpy,serunyaaa lihat di x kripto enthusias pada untung ndegen,Wed Jan 01 13:49:17 +0000 2025,X
154,KðŸ’š,keywords in no particular order bitcoin mstr sbr takut ketinggalan,Wed Jan 01 13:29:45 +0000 2025,X
155,Unknown Analyst,kismat itni gandi k na he kripto mein paise ban rahay na he forex gold muu laga raha or na cricket mein kuch learn ker rahay,Thu Feb 27 16:33:23 +0000 2025,X
156,YuraKaltim,bitcoin dibawah k beli harga bawah,Thu Feb 27 15:36:45 +0000 2025,X
157,zero,anjing bangsat naik kamu babi diem ajah kek siput kalau turun ajah cepet taikkkkkk,Thu Feb 27 14:55:17 +0000 2025,X
158,rafi,bitcoin turun banget ini kalau ada duit ingin sudah beli kalau tidak mampu beli coin saja,Thu Feb 27 13:34:58 +0000 2025,X
159,serin88,mungkin bitcoin akan turun lagi hingga ke kdollar jangan panic gaiss,Thu Feb 27 09:14:15 +0000 2025,X
160,Filip | Asuransi itu Simple,bitcoin sudah harga turun apakah the last harga naik segera dimulai asek,Thu Feb 27 06:22:32 +0000 2025,X
161,Prahesa Kusuma Setia,saham indonesia turun saham us turun kripto turun duit pada ke market cina nih,Thu Feb 27 06:09:18 +0000 2025,X
162,Lord,saatnya belanja tapi di market mana yaak semua market di indo us kripto pada turun,Thu Feb 27 05:59:06 +0000 2025,X
163,Raptors,altcoin menolak diajak turun oleh bitcoin,Thu Feb 27 04:50:10 +0000 2025,X
164,belajar airdrop ðŸŸ¡,terima kenyataan kalau bitcoin harga turun karena orang nyerok pi maafkan kami para penyihir,Thu Feb 27 03:36:50 +0000 2025,X
165,@Kaya Raya Dermawan,bitcoin turun tapi all coins tidak ikut di balik itu coin pi malah naik apakah ada perpindahan aset turu wae po bangane mumet,Thu Feb 27 02:03:30 +0000 2025,X
166,Rakha Bima AS,memang iya bitcoin turun gara gara danantara,Thu Feb 27 02:03:10 +0000 2025,X
167,Tomket Lovers | Trading & Airdrop,altcoin menolak di ajak turun oleh bitcoin,Thu Feb 27 01:43:05 +0000 2025,X
170,MICIN COIN ðŸ‡®ðŸ‡©,bitcoin drop ke dengan low di rsi makin oversold volatilitas tinggi tapi big picture tetap tren naik tetap tahan,Wed Feb 26 23:41:29 +0000 2025,X
171,MICIN COIN ðŸ‡®ðŸ‡©,solana turun ke menembus support sebelumnya rsi naik ke tapi belum ada tanda reversal kuat support berikutnya di jika breakdown dapat lanjut ke area tetap waspada di market yang volatil,Wed Feb 26 23:40:53 +0000 2025,X
172,"Aulia S.E., M.Pak., Tbk.",sobat kripto aman bitcoin turun byk,Wed Feb 26 23:26:30 +0000 2025,X
173,Andrew,bitcoin sudah di bottom price silahkan beli harga bawah dari sekarang thanks to me later,Wed Feb 26 21:07:49 +0000 2025,X
174,Uma,bitcoin turun hanya untuk menggandeng ethereum naik lebih tinggi dan memicu altseason camkan ini k bitcoin loading,Wed Feb 26 20:39:48 +0000 2025,X
175,hattaxoxo,kalau emas turun siap siap dollar naik kalau bitcoin turun siap siap dollar naik se kompleks itu,Wed Feb 26 15:14:27 +0000 2025,X
